RPM,Torque,Efficiency
19.84481605,0,74.99390714
19.84481605,1.237487437,75.22432702
19.84481605,2.474974874,75.45193067
19.84481605,3.712462312,75.67672962
19.84481605,4.949949749,75.89873541
19.84481605,6.187437186,76.11795957
19.84481605,7.424924623,76.33441362
19.84481605,8.66241206,76.54810911
19.84481605,9.899899497,76.75905755
19.84481605,11.13738693,76.96727049
19.84481605,12.37487437,77.17275946
19.84481605,13.61236181,77.37553598
19.84481605,14.84984925,77.57561159
19.84481605,16.08733668,77.77299782
19.84481605,17.32482412,77.9677062
19.84481605,18.56231156,78.15974827
19.84481605,19.79979899,78.34913554
19.84481605,21.03728643,78.53587957
19.84481605,22.27477387,78.71999187
19.84481605,23.51226131,78.90148398
19.84481605,24.74974874,79.08036743
19.84481605,25.98723618,79.25665375
19.84481605,27.22472362,79.43035447
19.84481605,28.46221106,79.60148113
19.84481605,29.69969849,79.77004526
19.84481605,30.93718593,79.93605838
19.84481605,32.17467337,80.09953204
19.84481605,33.4121608,80.26047775
19.84481605,34.64964824,80.41890706
19.84481605,35.88713568,80.5748315
19.84481605,37.12462312,80.72826258
19.84481605,38.36211055,80.87921186
19.84481605,39.59959799,81.02769085
19.84481605,40.83708543,81.1737111
19.84481605,42.07457286,81.31728413
19.84481605,43.3120603,81.45842147
19.84481605,44.54954774,81.59713465
19.84481605,45.78703518,81.73343522
19.84481605,47.02452261,81.86733469
19.84481605,48.26201005,81.9988446
19.84481605,49.49949749,82.12797648
19.84481605,50.73698492,82.25474187
19.84481605,51.97447236,82.37915228
19.84481605,53.2119598,82.50121927
19.84481605,54.44944724,82.62095435
19.84481605,55.68693467,82.73836906
19.84481605,56.92442211,82.85347494
19.84481605,58.16190955,82.9662835
19.84481605,59.39939698,83.07680629
19.84481605,60.63688442,83.18505483
19.84481605,61.87437186,83.29104066
19.84481605,63.1118593,83.39477531
19.84481605,64.34934673,83.49627031
19.84481605,65.58683417,83.59553719
19.84481605,66.82432161,83.69258748
19.84481605,68.06180905,83.78743272
19.84481605,69.29929648,83.88008443
19.84481605,70.53678392,83.97055415
19.84481605,71.77427136,84.05885341
19.84481605,73.01175879,84.14499374
19.84481605,74.24924623,84.22898668
19.84481605,75.48673367,84.31084374
19.84481605,76.72422111,84.39057648
19.84481605,77.96170854,84.4681964
19.84481605,79.19919598,84.54371506
19.84481605,80.43668342,84.61714398
19.84481605,81.67417085,84.68849469
19.84481605,82.91165829,84.75777872
19.84481605,84.14914573,84.82500761
19.84481605,85.38663317,84.89019288
19.84481605,86.6241206,84.95334607
19.84481605,87.86160804,85.01447871
19.84481605,89.09909548,85.07360233
19.84481605,90.33658291,85.13072847
19.84481605,91.57407035,85.18586864
19.84481605,92.81155779,85.23903439
19.84481605,94.04904523,85.29023725
19.84481605,95.28653266,85.33948875
19.84481605,96.5240201,85.38680042
19.84481605,97.76150754,85.43218379
19.84481605,98.99899497,85.47565039
19.84481605,100.2364824,85.51721176
19.84481605,101.4739698,85.55687942
19.84481605,102.7114573,85.59466492
19.84481605,103.9489447,85.63057977
19.84481605,105.1864322,85.66463551
19.84481605,106.4239196,85.69684367
19.84481605,107.661407,85.72721579
19.84481605,108.8988945,85.7557634
19.84481605,110.1363819,85.78249802
19.84481605,111.3738693,85.80743119
19.84481605,112.6113568,85.83057444
19.84481605,113.8488442,85.8519393
19.84481605,115.0863317,85.87153731
19.84481605,116.3238191,85.88937999
19.84481605,117.5613065,85.90547887
19.84481605,118.798794,85.9198455
19.84481605,120.0362814,85.93249139
19.84481605,121.2737688,85.94342809
19.84481605,122.5112563,85.95266711
19.84481605,123.7487437,85.96022001
19.84481605,124.9862312,85.96609829
19.84481605,126.2237186,85.97031351
19.84481605,127.461206,85.97287718
19.84481605,128.6986935,85.97380084
19.84481605,129.9361809,85.97309603
19.84481605,131.1736683,85.97077427
19.84481605,132.4111558,85.96684709
19.84481605,133.6486432,85.96132603
19.84481605,134.8861307,85.95422262
19.84481605,136.1236181,85.94554839
19.84481605,137.3611055,85.93531487
19.84481605,138.598593,85.92353359
19.84481605,139.8360804,85.91021609
19.84481605,141.0735678,85.89537389
19.84481605,142.3110553,85.87901853
19.84481605,143.5485427,85.86116154
19.84481605,144.7860302,85.84181445
19.84481605,146.0235176,85.82098879
19.84481605,147.261005,85.79869609
19.84481605,148.4984925,85.77494789
19.84481605,149.7359799,85.74975572
19.84481605,150.9734673,85.7231311
19.84481605,152.2109548,85.69508558
19.84481605,153.4484422,85.66563067
19.84481605,154.6859296,85.63477792
19.84481605,155.9234171,85.60253885
19.84481605,157.1609045,85.568925
19.84481605,158.398392,85.5339479
19.84481605,159.6358794,85.49761907
19.84481605,160.8733668,85.45995006
19.84481605,162.1108543,85.42095238
19.84481605,163.3483417,85.38063758
19.84481605,164.5858291,85.33901719
19.84481605,165.8233166,85.29610273
19.84481605,167.060804,85.25190574
19.84481605,168.2982915,85.20643776
19.84481605,169.5357789,85.1597103
19.84481605,170.7732663,85.1117349
19.84481605,172.0107538,85.0625231
19.84481605,173.2482412,85.01208643
19.84481605,174.4857286,84.96043641
19.84481605,175.7232161,84.90758458
19.84481605,176.9607035,84.85354248
19.84481605,178.198191,84.79832162
19.84481605,179.4356784,84.74193355
19.84481605,180.6731658,84.6843898
19.84481605,181.9106533,84.62570189
19.84481605,183.1481407,84.56588136
19.84481605,184.3856281,84.50493974
19.84481605,185.6231156,84.44288856
19.84481605,186.860603,84.37973935
19.84481605,188.0980905,84.31550365
19.84481605,189.3355779,84.25019299
19.84481605,190.5730653,84.18381889
19.84481605,191.8105528,84.11639289
19.84481605,193.0480402,84.04792652
19.84481605,194.2855276,83.97843132
19.84481605,195.5230151,83.90791881
19.84481605,196.7605025,83.83640052
19.84481605,197.9979899,83.76388799
19.84481605,199.2354774,83.69039275
19.84481605,200.4729648,83.61592633
19.84481605,201.7104523,83.54050026
19.84481605,202.9479397,83.46412608
19.84481605,204.1854271,83.38681531
19.84481605,205.4229146,83.30857948
19.84481605,206.660402,83.22943014
19.84481605,207.8978894,83.1493788
19.84481605,209.1353769,83.068437
19.84481605,210.3728643,82.98661628
19.84481605,211.6103518,82.90392816
19.84481605,212.8478392,82.82038418
19.84481605,214.0853266,82.73599586
19.84481605,215.3228141,82.65077474
19.84481605,216.5603015,82.56473235
19.84481605,217.7977889,82.47788022
19.84481605,219.0352764,82.39022989
19.84481605,220.2727638,82.30179288
19.84481605,221.5102513,82.21258073
19.84481605,222.7477387,82.12260496
19.84481605,223.9852261,82.03187712
19.84481605,225.2227136,81.94040873
19.84481605,226.460201,81.84821131
19.84481605,227.6976884,81.75529642
19.84481605,228.9351759,81.66167556
19.84481605,230.1726633,81.56736029
19.84481605,231.4101508,81.47236212
