":LapTime",":Time","Speed","Speed Input","Steering Angle"
255,255,0.108,0,-128
256,256,0.036,0,-128
257,257,0,0,-128
258,258,1.836,0,-128
259,259,21.564,24.9,-128
260,260,42.66,45.9,-128
261,261,58.284,60.9,-128
262,262,69.444,71.5,-128
263,263,51.516,48.2,-128
264,264,35.532,34.2,-128
265,265,43.884,45.1,-128
266,266,49.608,46.6,-128
267,267,52.02,54.8,-128
268,268,65.952,69,-128
269,269,75.708,77.3,-128
270,270,87.264,88.8,-128
271,271,94.86,96.3,-128
272,272,76.968,74.5,-128
273,273,54.54,51.5,-128
274,274,45.54,47,-128
275,275,44.892,43.3,-128
276,276,41.148,42.2,-128
277,277,49.968,47.3,-128
278,278,56.268,58.8,-128
279,279,63.288,64.8,-128
280,280,73.908,76.5,-128
281,281,75.996,76.3,-128
282,282,48.888,47.1,-128
283,283,37.692,33.5,-128
284,284,39.42,38.3,-128
285,285,62.136,62.6,-128
286,286,57.924,54.9,-128
287,287,50.472,50.6,-128
288,288,50.436,36.9,-128
289,289,40.5,37.3,-128
290,290,44.244,43.6,-128
291,291,46.908,50,-128
292,292,66.168,66.2,-128
293,293,34.668,28.5,-128
294,294,30.492,27.6,-128
295,295,34.632,37.8,-128
296,296,52.56,56.5,-128
297,297,70.74,71.9,-128
298,298,81.216,83.1,-128
299,299,67.32,63.4,-128
300,300,44.676,44.7,-128
301,301,49.392,50.4,-128
302,302,55.62,55.3,-128
303,303,61.128,56.8,-128
304,304,37.368,33.8,-128
305,305,41.004,40.3,-128
306,306,61.776,64.1,-128
307,307,73.8,76.2,-128
308,308,73.764,73.5,-128
309,309,74.088,76.2,-128
310,310,79.992,77,-128
311,311,52.344,49.5,-128
312,312,48.492,50.6,-128
313,313,39.636,35.9,-128
314,314,36.252,38.5,-128
315,315,43.128,38.5,-128
316,316,44.712,45.6,-128
317,317,43.74,49.9,-128
318,318,58.428,62.3,-128
319,319,72.576,73.5,-128
320,320,45.612,40.6,-128
321,321,24.3,21.6,-128
322,322,32.508,32.7,-128
323,323,45.792,48.7,-128
324,324,46.98,50.1,-128
325,325,65.268,69.4,-128
326,326,74.988,75.9,-128
327,327,85.644,87.1,-128
328,328,91.404,89,-128
329,329,60.228,58.7,-128
330,330,63.18,66.8,-128
331,331,74.7,73.5,-128
332,332,47.7,28.1,-128
333,333,39.96,36.5,-128
334,334,58.176,61.1,-128
335,335,68.472,66.7,-128
336,336,45.072,46.9,-128
337,337,59.436,61.9,-128
338,338,54.972,50.8,-128
339,339,60.264,60.8,-128
340,340,56.376,53,-128
341,341,45.684,46.3,-128
342,342,44.352,44.5,-128
343,343,49.68,52.6,-128
344,344,55.512,60,-128
345,345,72.684,73.1,-128
346,346,43.524,34.5,-128
347,347,25.128,26.3,-128
348,348,40.572,40.5,-128
349,349,57.06,56.1,-128
350,350,34.488,34.4,-128
351,351,25.2,30.8,-128
352,352,33.048,35.1,-128
353,353,51.552,53,-128
354,354,67.068,64.2,-128
355,355,43.128,42,-128
356,356,44.172,47.8,-128
357,357,45.684,41.8,-128
358,358,34.56,32.2,-128
359,359,45.036,46.7,-128
360,360,31.248,28.8,-128
361,361,36.9,41,-128
362,362,49.896,50.4,-128
363,363,58.5,61.1,-128
364,364,67.5,64.5,-128
365,365,73.188,75.5,-128
366,366,84.924,86.3,-128
367,367,93.492,93.3,-128
