273.86	65.956
285.27	54.435
334.72	42.339
460.24	33.986
604.77	27.938
741.7	23.329
931.88	20.161
1144.9	19.009
1380.7	17.857
1627.9	16.417
1852.4	16.705
2073	16.417
2293.6	15.265
2590.2	15.841
2860.3	16.705
3130.4	17.281
3366.2	17.857
3636.2	19.585
3875.9	21.889
4039.4	23.906
4244.8	29.954
4389.3	34.85
4568.1	41.187
4731.7	48.675
4906.6	57.604
5062.6	66.244
5214.7	77.477
5344.1	87.846
5450.6	99.078
5503.8	106.28
5678.8	123.27
5842.3	149.48
5933.6	165.61
5933.6	189.52
5891.8	213.42
5781.5	225.52
5541.8	241.36
5507.6	245.39
5344.1	245.68
5119.6	245.97
4883.8	245.68
4678.4	245.68
4423.6	245.97
4187.8	245.68
3990	245.1
3807.4	246.26
3624.8	246.26
3389	245.1
3187.4	245.68
3035.3	245.39
2856.5	245.97
2609.3	245.1
2377.2	245.68
2160.4	245.39
1977.9	245.39
1791.5	245.68
1627.9	245.68
1407.3	245.39
1251.4	245.39
1122.1	242.22
1011.8	237.33
920.47	230.7
832.99	221.77
772.13	214
707.47	204.78
635.2	194.41
578.15	184.33
513.49	171.66
464.04	161.29
422.2	152.94
380.36	140.26
342.32	127.88
311.89	112.9
296.68	101.67
289.07	89.286
281.47	78.341
