1278.9	145.11
1301.7	134.2
1355	122.99
1431.1	111.21
1530.1	100.86
1632.9	90.805
1747.1	81.609
1880.3	74.138
2040.1	67.816
2222.8	64.08
2409.3	62.931
2588.2	64.08
2869.9	66.379
3121.1	70.402
3330.4	73.276
3577.9	77.874
3832.9	83.621
4046	88.793
4251.6	95.402
4426.6	101.72
4563.7	107.76
4693.1	116.38
4750.2	128.16
4696.9	139.66
4556.1	148.56
4441.9	153.16
4255.4	158.05
4095.5	160.92
3920.4	163.22
3749.1	164.94
3555	166.67
3338.1	168.1
3102.1	169.54
2869.9	170.69
2675.8	170.4
2443.6	171.26
2158.1	170.11
1948.8	168.39
1762.3	166.38
1583.4	162.93
1434.9	159.77
1343.6	155.17
