1031.5	83.621
1058.1	75.862
1119	68.966
1233.2	64.368
1385.5	61.207
1552.9	58.908
1762.3	57.471
1929.8	56.609
2108.7	56.034
2276.1	55.46
2436	55.46
2607.3	55.747
2828	56.034
2991.7	56.322
3220.1	56.322
3471.3	56.897
3703.5	57.759
3943.3	59.77
4156.4	62.931
4369.6	68.391
4540.8	75
4704.5	83.908
4833.9	91.092
4963.3	100
5058.5	107.76
5184.1	118.39
5298.3	129.02
5385.8	138.22
5481	148.28
5690.3	168.1
5766.4	186.21
5618	196.84
5511.4	200
5271.6	200.29
5062.3	200.29
4860.6	200.86
4662.6	200.29
4438.1	200.29
4175.4	201.15
3874.7	201.15
3574	201.72
3311.4	202.01
3071.6	202.3
2820.4	202.87
2592	202.3
2367.5	202.3
2169.6	202.01
1994.5	199.71
1823.2	195.98
1655.7	191.95
1507.3	186.21
1385.5	179.89
1267.5	172.13
1164.7	161.49
1115.2	148.56
1084.8	138.79
1058.1	127.01
1050.5	114.94
1046.7	105.17
1039.1	94.253
